STORE NAME,Executive Name,AREA,PHONE 1,PHONE 2,ADDRESS,CONTACT,MOBILE NUMBERS,WHATSAPP LINK,CALL SUMMARY,,,,,,,,,
K C opticals shop,sahil,ADARSH NAGAR,9493943944,,"D-50, Block K2, Jahangirpuri, Delhi, 110033",9493943944,9493943944,https://api.whatsapp.com/send?phone=+919493943944,wrong number,,,,,,,,,
Alisha Opticals,sahil,ADARSH NAGAR,,,"D-483, Railway Rd, Sadi Nagar, Azadpur, Ashok Vihar, New Delhi, Delhi 110033",,,,,,,,,,,,,
Sharma Optical Shop,sahil,ADARSH NAGAR,098108 20674,,"C- Block K2, Jahangirpuri, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi, 110033",98108 20674,9810820674,https://api.whatsapp.com/send?phone=+919810820674,,,,,,,,,,
Jain Optical Shop,sahil,ADARSH NAGAR,075089 64488,,"A-1085, Block A 4, Jahangirpuri, Delhi, 110033",75089 64488,7508964488,https://api.whatsapp.com/send?phone=+917508964488,phone number invalid,,,,,,,,,
Kriday Opticals,sahil,ADARSH NAGAR,9873835702,,"Sanjay Enclave, Jahangirpuri, Delhi, 110033

",9873835702,9873835702,https://api.whatsapp.com/send?phone=+919873835702,wrong number,,,,,,,,,
Raina Trading Corp.,sahil,ADARSH NAGAR,9868540716,,"285-D,Jogion Wali Gali ,Azadpur ,New Delhi-110033",9868540716,9868540716,https://api.whatsapp.com/send?phone=+919868540716,wrong number,,,,,,,,,
Ved Vision The Optical Shop,sahil,AMBEDKAR NAGAR,9899705553,,"5/81 Khanpur,Madangir,DDA Flats,New Delhi - 110062",9899705553,9899705553,https://api.whatsapp.com/send?phone=+919899705553,wrong number,,,,,,,,,
Sapna Optical Palace,sahil,AMBEDKAR NAGAR,1129955668,,"10/11,Shiv Shankar Market,Block 9,Sector 5,Ambedkar Nagar,Madangir,New Delhi -110062",1129955668,,,wrong number,,,,,,,,,
Eye to Eye Optician,sahil,AMBEDKAR NAGAR,9899742880,,"Shop No. 14/356,Ground Floor,DDA Flats,Ambedkar Nagar,Madangir,New Delhi-110044",9899742880,9899742880,https://api.whatsapp.com/send?phone=+919899742880,wrong number,,,,,,,,,
The Optical Shop,sahil,AMBEDKAR NAGAR,9810953371,,"9/156,Dakshinpuri Rd. ,Dakshinpuri Extension,Block 3,Sector 4,Madangir,New Delhi-110044",9810953371,9810953371,https://api.whatsapp.com/send?phone=+919810953371,wrong number,,,,,,,,,
Optic World,sahil,AMBEDKAR NAGAR,8802586229,," A-416,Mangal Bazar road,Block B,Tigri Extn. , Sangam Vihar ,New Delhi -110062",8802586229,8802586229,https://api.whatsapp.com/send?phone=+918802586229,busy,,,,,,,,,
Sai Opticals,sahil,AMBEDKAR NAGAR,7503296293,,"Holi chowk,Ch Juglal Bhure marg,Block B,Devli,Sangam Vihar,New Delhi-110062",7503296293,7503296293,https://api.whatsapp.com/send?phone=+917503296293,busy,,,,,,,,,
Aakash Opticals,Ravi,AMBEDKAR NAGAR,9818564486,,"B1,599,Ambedkar Nagar,Block B,Ambedkar nagar,Madangir,New delhi -110066",9818564486,9818564486,https://api.whatsapp.com/send?phone=+919818564486,,,,,,,,,,
ClearDekho Opticals,,AMBEDKAR NAGAR,9999020666,,"A-245,Deoli Rd. ,Khanpur Village ,Khanpur,New Delhi-110062",9999020666,9999020666,https://api.whatsapp.com/send?phone=+919999020666,,,,,,,,,,
New Delhi Opticals,,AMBEDKAR NAGAR,1165699870,,"Shop No. D,134,Deoli Rd.,D Block,Krishna Park Colony ,Jawahar Park,Khanpur,New Delhi-110062",1165699870,,,Not reachable,,,,,,,,,
New Goel Opticals,Ravi,AMBEDKAR NAGAR,9810016147,,"40/13,Mehrauli-Badarpur Rd. ,Main market,Khanpur Village,Khanpur,New Delhi-110062",9810016147,9810016147,https://api.whatsapp.com/send?phone=+919810016147,,,,,,,,,,
Eye Care Opticals,,AMBEDKAR NAGAR,1165902203,,"Block D,200,Deoli Rd.,Nera Cambridge International School,Pocket A,Jawahar Park,Khanpur,New Delhi-110062",1165902203,,,Not reachable,,,,,,,,,
Goa Opticals,Ravi,AMBEDKAR NAGAR,9049600029,,"Shop No. H1 ,Ground Floor ,Central Market ,Madangir,New Delhi-110062",9049600029,9049600029,https://api.whatsapp.com/send?phone=+919049600029,Not Interested,,,,,,,,,
Santosh Opticals,Ravi,AMBEDKAR NAGAR,9350161561,,"63,Madangir Village,Madangir,New Delhi-110044",9350161561,9350161561,https://api.whatsapp.com/send?phone=+919350161561,Will tell till tomorrow,,,,,,,,,
JMD Opticals,,AMBEDKAR NAGAR,8586914166,,"Ratiya Marg,Talimabad,Sangam Vihar,New Delhi-110062",8586914166,8586914166,https://api.whatsapp.com/send?phone=+918586914166,Incoming call not available,,,,,,,,,
GS Opticals,,AMBEDKAR NAGAR,9871828711,,"Ratiya Marg,Block D,Sangam Vihar ,New Delhi-110062",9871828711,9871828711,https://api.whatsapp.com/send?phone=+919871828711,Now donot  have interest in business so only work for 2-3 hours a day ,,,,,,,,,
Sachdeva Vision Care,Ravi,AMBEDKAR NAGAR,9891957806,,"170,RPS Flats, Gate No. 2,Opp. Khanpur Bus Depot,Mehrauli-badarpur Rd.,New Delhi-110062",9891957806,9891957806,https://api.whatsapp.com/send?phone=+919891957806,Busy,,,,,,,,,
New Talwar Opticals,Ravi,AMBEDKAR NAGAR,9811261217,,"Shop No. H-156,Opposite 521 Main Bus Stand,Dakshinpuri,New Delhi-110062",9811261217,9811261217,https://api.whatsapp.com/send?phone=+919811261217,Not interested,,,,,,,,,
Aqua Vision,,AMBEDKAR NAGAR,,,"75, First Floor,Village Market , Ambedkar nagar,Madangir,New Delhi-110062",,,,,,,,,,,,,
Amit Opticals,Ravi,AMBEDKAR NAGAR,9212519830,,"Shop No. C-35-36,Devli Rd. ,Near Ramdev Baba Mandir, Khanpur, New Delhi-110062",9212519830,9212519830,https://api.whatsapp.com/send?phone=+919212519830,,,,,,,,,,
Royal Opticals,Ravi,AMBEDKAR NAGAR,9899974299,9911771047,"Shop No.-40/5,M B Main Rd. ,Near PNB Bank , Khanpur ,New Delhi-110062",9899974299,9899974299,https://api.whatsapp.com/send?phone=+919899974299,busy,,,,,,,,,
Astha Clinic,,AMBEDKAR NAGAR,9873063758,,"Shop No. 19/515,DDA Flats ,Madangir,New Delhi-110062",9873063758,9873063758,https://api.whatsapp.com/send?phone=+919873063758,,,,,,,,,,
Sapna Opticals,Ravi,AMBEDKAR NAGAR,9891845255,,"C-13,Madangir,New Delhi-110062",9891845255,9891845255,https://api.whatsapp.com/send?phone=+919891845255,,,,,,,,,,
Gyan Optical,Ravi,AMBEDKAR NAGAR,8447131640,,"A-166,Main Devli Rd., Near HDFC Bank, Khanpur,New Delhi-110062",8447131640,8447131640,https://api.whatsapp.com/send?phone=+918447131640,will discuss with someone and then tell( problem in business planning),,,,,,,,,
Arya Opticals,,AMBEDKAR NAGAR,,,"A/4-217,Near Bus Stop ,Sector 4,Madangir,New Delhi-110062",,,,,,,,,,,,,
Satya Optical House,Ravi,AMBEDKAR NAGAR,9250746557,,"B-112,Duggal Colony ,Devli,Khanpur,New Delhi-110062",9250746557,9250746557,https://api.whatsapp.com/send?phone=+919250746557,no invalid,,,,,,,,,
Sahil Opticals,Ravi,AMBEDKAR NAGAR,9818356262,,"Shop No. 12, Main Rd.,Ratiya Marg,Sangam Vihar,New Delhi-110062",9818356262,9818356262,https://api.whatsapp.com/send?phone=+919818356262,,,,,,,,,,
,,AMBEDKAR NAGAR,,,,,,,,,,,,,,,,
,,AMBEDKAR NAGAR,,,,,,,,,,,,,,,,
M. S. Eye Care Centre,,BABARPUR,,,"W-229/1, Jai Durga Marg, Main road, Babarpur, Shahdara, Delhi, 110032",,,,,,,,,,,,,
Eye 5 Optical Store,sahil,BABARPUR,092113 55722,,"M297, Brahampuri Rd, Block M, Brahampuri, Shahdara, Delhi, 110053",92113 55722,9211355722,https://api.whatsapp.com/send?phone=+919211355722,tomorrow,,,,,,,,,
Hamna Eye Care,sahil,BABARPUR,099681 58786,,"317 street ni 1 jamalu ka bagh near metro piller no 197 maujpur, Delhi, 110053",99681 58786,9968158786,https://api.whatsapp.com/send?phone=+919968158786,wrong number,,,,,,,,,
Pooja Opticals & Eyecare Centre,,BABARPUR,098102 52104,,"28.687611, 77.286208, Shastri Gali, Babarpur, Delhi, 110032",98102 52104,9810252104,https://api.whatsapp.com/send?phone=+919810252104,,,,,,,,,,
Eye Care Optical,,BABARPUR,098103 74242,,"Shop No.26/21, Main 60 Foota Road, Vishwas Nagar, Shahdara, Delhi, 110032",98103 74242,9810374242,https://api.whatsapp.com/send?phone=+919810374242,,,,,,,,,,
ClearDekho Optical,,BABARPUR,099990 20666,,"C - 6/238, Block C, Yamuna Vihar, Shahdara, Delhi, 110053",99990 20666,9999020666,https://api.whatsapp.com/send?phone=+919999020666,,,,,,,,,,
Chauhan optical's,sahil,BABARPUR,098104 84076,,"Rd Number 68, Chhajjupur, Shahdara, Delhi, 110032",98104 84076,9810484076,https://api.whatsapp.com/send?phone=+919810484076,pics pending,,,,,,,,,
S.k optical,sahil,BABARPUR,076782 10273,,"anoop medical store, 20D/3 main Road Babarpur Near babarpur police chowki, Delhi 110032",76782 10273,7678210273,https://api.whatsapp.com/send?phone=+917678210273,,,,,,,,,,
City Eye Care,,BABARPUR,098912 17907,,"412/20,Shop No -1,Gali No 20, M.N.Model Public School, Near Madina Masjid,Delhi 110053",98912 17907,9891217907,https://api.whatsapp.com/send?phone=+919891217907,,,,,,,,,,
Tanishka Eye Care & Optical Center,,BABARPUR,087438 60010,,"V-462 Gali No. 19, Leloo Pradhan Ji Market Main Road Vijay Park Delhi -, Delhi, 110053",87438 60010,8743860010,https://api.whatsapp.com/send?phone=+918743860010,,,,,,,,,,
Amar Eye Center,,BABARPUR,011 2232 3920,,"B-38, Shahi Mohalla, Mohan Park, Navin Shahdara, Shahdara, Delhi, 110032",1 2232 3920,,,,,,,,,,,,
Vishal Eye Care Center & Optical,,BABARPUR,8800108225,,"Shop Number.1038/2,, Railway Road,, Shahdara, Delhi, 110032",8800108225,8800108225,https://api.whatsapp.com/send?phone=+918800108225,number invalid,,,,,,,,,
Eyeco Optical & Eye Care Centre,,BABARPUR,099537 56235,,"A-31/, Maujpur Main Rd, Block 17, Maujpur, Delhi 110053",99537 56235,9953756235,https://api.whatsapp.com/send?phone=+919953756235,,,,,,,,,,
DEV EYE CARE CENTRE,,BABARPUR,011 2232 2377,,"Shop No. 1038, 2, Makki Sarai Railway Rd, Shahdara, Delhi, 110032",1 2232 2377,,,,,,,,,,,,
Cleardekho Optical,,BABARPUR,099990 20666,,"Third Pusta Main Rd, Third Pushta, Jagjeet Nagar, Shahdara, Delhi, 110053",99990 20666,9999020666,https://api.whatsapp.com/send?phone=+919999020666,,,,,,,,,,
Manjula Opticals,sahil,BABARPUR,098916 49595,,"Shop No:20A, Shahdara, Babarpur Main Road, Babarpur Village, Noor Nagar, Delhi 110032",98916 49595,9891649595,https://api.whatsapp.com/send?phone=+919891649595,pics pending till tonight,,,,,,,,,
Modern Eye Care Centre,,BABARPUR,,,"4649/162 New Modern Shahdara, Street no.6, Budh bazaar road, Delhi, 110032",,,,,,,,,,,,,
Shiv Optical,,BABARPUR,011 2282 4162,,"Shop No.1/9956,Street No.3, Hanuman Rd, West Gorakh Park, Shahdara, Delhi, 110032",1 2282 4162,,,,,,,,,,,,
Ambika Opticals,sahil,BABARPUR,099994 07020,,"V-8, opp. Dr. Kakkar Clinic, Navin Shahdara, Shahdara, Delhi, 110032",99994 07020,9999407020,https://api.whatsapp.com/send?phone=+919999407020,,,,,,,,,,
Angel Opticals,,BABARPUR,097182 44004,,"1/7153, Shivaji Park, Shahdara, Delhi, 110032",97182 44004,9718244004,https://api.whatsapp.com/send?phone=+919718244004,,,,,,,,,,
Mahadev Opticals,,BABARPUR,095409 02498,,"Shop No.A/3208, Main Mandoli Rd, Dda Market, Ram Nagar, Shahdara, Delhi, 110032",95409 02498,9540902498,https://api.whatsapp.com/send?phone=+919540902498,,,,,,,,,,
Shanti Opticals,,BABARPUR,098681 17313,,"1/2344, Main Mandoli Rd, Ram Nagar, Shahdara, Delhi, 110032",98681 17313,9868117313,https://api.whatsapp.com/send?phone=+919868117313,,,,,,,,,,
Madan Opticals,,BABARPUR,098115 22502,,"1153-b,chota bazar near loha pull, Makki Sarai Railway Rd, Shahdara, Delhi, 110032",98115 22502,9811522502,https://api.whatsapp.com/send?phone=+919811522502,,,,,,,,,,
,,BABARPUR,,,,,,,,,,,,,,,,
,,BABARPUR,,,,,,,,,,,,,,,,
,,BABARPUR,,,,,,,,,,,,,,,,
,,BABARPUR,,,,,,,,,,,,,,,,
,,BABARPUR,,,,,,,,,,,,,,,,
Shiv Optical Centre,Puru,BADARPUR,,,,,,,,,,,,,,,,
Nitu Opticals ,Puru,BADARPUR,9871506933,,"    Shop No. 4/A-222, Main Market , Near DDA Rd. , Badarpur,New Delhi-110044",9871506933,9871506933,https://api.whatsapp.com/send?phone=+919871506933,,,,,,,,,,
Gadhaua Opticals,Puru,BADARPUR,9910671568,8178347715,"Nehru Market ,Patera, Badarpur,New Delhi-110044",9910671568,9910671568,https://api.whatsapp.com/send?phone=+919910671568,,,,,,,,,,
Rajput watch and optical centre,,BADARPUR,098117 49013,,"Choken Shiv Mandir, Saurabh Vihar, Badarpur, Jaitpur Rd, Hari Nagar Extn, F- Block, Molar Band, ",98117 49013,9811749013,https://api.whatsapp.com/send?phone=+919811749013,,,,,,,,,,
Kansal Optical centre,,BADARPUR,9818064552,,"Shop No. -18 ,Aggarwal Market, Subji Mandi Rd. ,Molarbandh",9818064552,9818064552,https://api.whatsapp.com/send?phone=+919818064552,,,,,,,,,,
Mahadev opticals,,BADARPUR,9310606014,,Om garden school road badarpur(110044),9310606014,9310606014,https://api.whatsapp.com/send?phone=+919310606014,,,,,,,,,,
Sanjay opticals,,BADARPUR,9313221002,,A 41 main tajpur road badarpur(110044),9313221002,9313221002,https://api.whatsapp.com/send?phone=+919313221002,He will speak after 30 mins,,,,,,,,,
Modi opticals,,BADARPUR,8586992713,,C-281/A main shiv mandir road pul prahladpur,8586992713,8586992713,https://api.whatsapp.com/send?phone=+918586992713,,,,,,,,,,
Deepak opticals,,BADARPUR,8285812907,,"tanki road harsh vihar, bhati market",8285812907,8285812907,https://api.whatsapp.com/send?phone=+918285812907,,,,,,,,,,
Human eye care,,BADARPUR,9871818972,,36/3 main mathura road badarpur ,9871818972,9871818972,https://api.whatsapp.com/send?phone=+919871818972,He will speak after 1 hr stuck in traffic,,,,,,,,,
Model opticals,,BADARPUR,,,"1-195/A , main jatipuir road",,,,,,,,,,,,,
Shipi opticals,,BADARPUR,9990432557,,"Shukra bazaar , jatipur nala road",9990432557,9990432557,https://api.whatsapp.com/send?phone=+919990432557,,,,,,,,,,
Vans optical,,BADARPUR,9811302864,,"68/14 badarpur border, molar band extension",9811302864,9811302864,https://api.whatsapp.com/send?phone=+919811302864,Hanged up call in middle conversation ,,,,,,,,,
Rajesh optical,,BADARPUR,9971804812,,"I-1240/c hari nagar extension, meethapur",9971804812,9971804812,https://api.whatsapp.com/send?phone=+919971804812,,,,,,,,,,
Neha opticals,,BADARPUR,9555999877,,"Sno 14 , opposite primary school , main road jatipur",9555999877,9555999877,https://api.whatsapp.com/send?phone=+919555999877,,,,,,,,,,
Hari Om Opticals,,BADARPUR,9350578220,,"G-Block,Shop No.1,Chaudhary Complex,Ch.Dhiraj Singh Market,40 Feet Road, behind Mehra Petrol Pump, Molar band Extension, Badarpur, New Delhi, Haryana 110044",9350578220,9350578220,https://api.whatsapp.com/send?phone=+919350578220,,,,,,,,,,
Sharma Opticals,,BADARPUR,9911406845,,"Shop No2, Main chowk, Aali Village, New Delhi, Delhi 110076",9911406845,9911406845,https://api.whatsapp.com/send?phone=+919911406845,,,,,,,,,,
Shrishti opticals,,BADARPUR,,,"Shop No: F-1, Jaitpur Extension Part II, Khadda Colony,",,,,,,,,,,,,,
Paul d opticals,,BADARPUR,011 2694 0829,,"Shop No 16, Sarita Vihar,, Ali Extension, Ali,",1 2694 0829,,,,,,,,,,,,
Hari om opticals,,BADARPUR,093505 78220,,"G-Block,Shop No.1,Chaudhary Complex,Ch.Dhiraj Singh Market,40 Feet Road,",93505 78220,9350578220,https://api.whatsapp.com/send?phone=+919350578220,,,,,,,,,,
jyoti opticals,,BADARPUR,,,"A-111, Sharma Market Rd, Sharma Market, Block A, Pul Pehlad Pur, ",,,,,,,,,,,,,
national opticals,,BADARPUR,099118 13744,,"A-103, 1st Floor, Main Sharma Market, Pul Prahladur",99118 13744,9911813744,https://api.whatsapp.com/send?phone=+919911813744,,,,,,,,,,
Dev opticals,,BADARPUR,098103 25038,,"01-02 DDA LIG Flats Pul Prahladpur Near Police Chek Post, Suraj Kund ",98103 25038,9810325038,https://api.whatsapp.com/send?phone=+919810325038,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
,,BADARPUR,,,,,,,,,,,,,,,,
Vision eye care,sahil,BADLI,9810744243,,"395, saroop Nagar,bhalsna village, Badli,New year Delhi -110042",9810744243,9810744243,https://api.whatsapp.com/send?phone=+919810744243,phone number invalid,,,,,,,,,
Balwant Eye Clinic,sahil,BADLI,27835693,,"Shop no-11 ,Main market,main bazar , samaypur Badli,Delhi -110042",27835693,,,,,,,,,,,,
Jagdamba Eye Care,sahil,BADLI,9211551073,,"Khatra No-136/2,Raithala Road Badli ,New Delhi-42",9211551073,9211551073,https://api.whatsapp.com/send?phone=+919211551073,phone number invalid,,,,,,,,,
Bhatia Eye Care,sahil,BADLI,9811949248,,"Main Bazar, Panchu Panna, Dharamshala, Street no-8,Bhalswa , Samaypur Badli, New Delhi-110042",9811949248,9811949248,https://api.whatsapp.com/send?phone=+919811949248,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
,,BADLI,,,,,,,,,,,,,,,,
Ruby & Ruby Opticians,,BALLIMARAN,011 2398 2971,,"No:2424, 2630, 2619, Katra Bariyan, Balli Maran, Baradari, Chandni Chowk, New Delhi, Delhi 110006",1 2398 2971,,,,,,,,,,,,
Nice Opticals,,BALLIMARAN,011 2393 7665,,"No:5090, Ballimaran Rd, Balli Maran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006",1 2393 7665,,,,,,,,,,,,
The Opticals Shop,,BALLIMARAN,011 2393 9121,,"1373, Ballimaran, Chandni Chowk,, Chandni Chowk Road, Maliwara,, New Delhi, Delhi 110006",1 2393 9121,,,,,,,,,,,,
Optical Gallery,naman,BALLIMARAN,098188 84413,,"5138, Balli Maran Gali, Chandni Chowk, New Delhi, Delhi 110006",98188 84413,9818884413,https://api.whatsapp.com/send?phone=+919818884413,"not answering, whstapp dropped",,,,,,,,,
Saurashtra Optical Company,,BALLIMARAN,098100 47262,,"No:2377, Chashma Building, Ballimaran Street, Chandni Chowk, New Delhi, Delhi 110006",98100 47262,9810047262,https://api.whatsapp.com/send?phone=+919810047262,,,,,,,,,,
Thakur Opticals,,BALLIMARAN,098101 20653,,"2377/4, Chashma Bld., Ballimaran Rd, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006",98101 20653,9810120653,https://api.whatsapp.com/send?phone=+919810120653,,,,,,,,,,
Fair Optics,,BALLIMARAN,011 2398 9810,,"Shop No: 921, Ballimaran Rd, Balli Maran, Haveli Haider Kuli, Chandni Chowk, New Delhi, Delhi 110006",1 2398 9810,,,,,,,,,,,,
Elevate Eyewear,rohan,BALLIMARAN,098114 51007,,"Sharif Manzil, Ballimaran, 2304, (Opp, Chandni Chowk, Delhi, 110006",98114 51007,9811451007,https://api.whatsapp.com/send?phone=+919811451007,,,,,,,,,,
Niamat Optical Company,,BALLIMARAN,098732 76677,,"5223, Ballimaran Rd, Balli Maran, New Krishna Cloth Market, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006",98732 76677,9873276677,https://api.whatsapp.com/send?phone=+919873276677,will ask and tell ,,,,,,,,,
Iqbal Store,,BALLIMARAN,011 2396 9472,,"5966, Opp: 2420, Iqbal Shahji Dairy, Ballimaran Rd, Chandni Chowk, New Delhi, Delhi 110006",1 2396 9472,,,not interested,,,,,,,,,
Sun Shine Opticals,,BALLIMARAN,011 2393 3458,,"Shop No 2395, Chashma Building, Ballimaran, Ballimaran, near Police Post, New Delhi, Delhi 110006",1 2393 3458,,,,,,,,,,,,
Azad Optical Works,,BALLIMARAN,011 2394 1548,,"Shop No:5785, Kucha Rehman, Ballimaran Rd, Balli Maran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006",1 2394 1548,,,refused for online ,,,,,,,,,
Gulzar Optical Company,,BALLIMARAN,011 2391 2910,,"No:2359-60, Charkhiwalan Gali, Ballimaran Street, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006",1 2391 2910,,,,,,,,,,,,
Prime Optics,,BALLIMARAN,011 2391 1126,,"Shop No: 2365, Ballimaran Rd, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006",1 2391 1126,,,,,,,,,,,,
A-One Opticals,,BALLIMARAN,098181 41644,,"Shop No. 2342, 3, Ballimaran Rd, Balli Maran, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006",98181 41644,9818141644,https://api.whatsapp.com/send?phone=+919818141644,,,,,,,,,,
New Famous Optical Co,,BALLIMARAN,011 2391 0115,,"2310a-2314, Katara Alam, Beg, Ballimaran, Ballimaran, New Delhi, Delhi 110006",1 2391 0115,,,,,,,,,,,,
Ashish Opticals,,BALLIMARAN,011 4239 7730,,"Ballimaran, Asiad Market, S No 41, Chandni Chowk, Chandni Chowk, New Delhi, Delhi 110006",1 4239 7730,,,,,,,,,,,,
Pride Optics,,BALLIMARAN,098102 16735,,"Shop No:5099, Ballimaran Rd, Balli Maran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006",98102 16735,9810216735,https://api.whatsapp.com/send?phone=+919810216735,will tell later,,,,,,,,,
Kay Opticals,,BALLIMARAN,098990 37929,,"5123/33, Asiad Market, Ballimaran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006",98990 37929,9899037929,https://api.whatsapp.com/send?phone=+919899037929,not willing for online,,,,,,,,,
Fashion Opticals,,BALLIMARAN,098918 88458,,"Shop No, 1369, Ballimaran Rd, Balli Maran, Haveli Haider Kuli, Chandni Chowk, New Delhi, Delhi 110006",98918 88458,9891888458,https://api.whatsapp.com/send?phone=+919891888458,,,,,,,,,,
Nawab Opticals,,BALLIMARAN,9015900910,9958655661,"5171, phatak hakeem mehmood khan, Ballimaran Rd, Chandni Chowk, New Delhi, Delhi 110006

",9015900910,9015900910,https://api.whatsapp.com/send?phone=+919015900910,wrong number,,,,,,,,,
Hameed Optics,,BALLIMARAN,9212915436,,"5170,Katra Hakim,Mahmood Khan, Ballimaran Rd, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006

",9212915436,9212915436,https://api.whatsapp.com/send?phone=+919212915436,did not pickup,,,,,,,,,
Fame Optics,,BALLIMARAN,9810963205,,"2357, Ballimaran Rd, Balli Maran, Ashok Park Main, Chandni Chowk, New Delhi, Delhi 110006

",9810963205,9810963205,https://api.whatsapp.com/send?phone=+919810963205,,,,,,,,,,
Image optics,,BALLIMARAN,9811102711,,"5191, Ballimaran Rd, Balli Maran, New Krishna Cloth Market, Haveli Haider Kuli, Chandni Chowk, New Delhi, Delhi 110006

",9811102711,9811102711,https://api.whatsapp.com/send?phone=+919811102711,,,,,,,,,,
Model Optics,,BALLIMARAN,9811567870,,"No:2361-62, Charkhiwalan Gali, Ballimaran Rd, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006

",9811567870,9811567870,https://api.whatsapp.com/send?phone=+919811567870,,,,,,,,,,
Optic lenses,,BALLIMARAN,9910026582,,"39, Asiad Market, Shareef manzil, Ballimaran Rd, Chandni Chowk, New Delhi, Delhi 110006

",9910026582,9910026582,https://api.whatsapp.com/send?phone=+919910026582,,,,,,,,,,
Zuby Optics,,BALLIMARAN,9711898177,,"1409, Qasimjan Street, Ballimaran, Chandni Chowk, Ballimaran, New Delhi, Delhi 110006

",9711898177,9711898177,https://api.whatsapp.com/send?phone=+919711898177,not interested,,,,,,,,,
Unique Opticals,,BALLIMARAN,9810369664,,"1394/6, 110006, Gali Qasim Jan, Balli Maran, Old Delhi, New Delhi, Delhi 110006

",9810369664,9810369664,https://api.whatsapp.com/send?phone=+919810369664,not interested,,,,,,,,,
Eye zone Opticals,,BALLIMARAN,9971620277,,"Shop No:5101, Ballimaran Rd, Balli Maran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006

",9971620277,9971620277,https://api.whatsapp.com/send?phone=+919971620277,,,,,,,,,,
MN Chanda Opticals Repair,,BALLIMARAN,1123963032,,"Shop No. 2395, Chashma Bld., Ballimaran Rd, Chhoti Baradari, Chandni Chowk, New Delhi, Delhi 110006

",1123963032,,,,,,,,,,,,
